inning,half,outs,base_state,score_diff,win_prob,n
1,top,2,4,2,0.72133,157
1,top,2,4,3,0.80048,105
1,top,2,4,4,0.86432,71
1,top,2,4,5,0.91253,47
1,top,2,4,6,0.94664,32
1,top,2,5,-6,0.06707,32
1,top,2,5,-5,0.10724,47
1,top,2,5,-4,0.16238,71
1,top,2,5,-3,0.23327,105
1,top,2,5,-2,0.31863,157
1,top,2,5,-1,0.41489,235
1,top,2,5,0,0.51659,350
1,top,2,5,1,0.61721,235
1,top,2,5,2,0.71046,157
1,top,2,5,3,0.7914,105
1,top,2,5,4,0.85721,71
1,top,2,5,5,0.90732,47
1,top,2,5,6,0.94306,32
1,top,2,6,-6,0.06374,22
1,top,2,6,-5,0.10249,33
1,top,2,6,-4,0.15603,49
1,top,2,6,-3,0.22534,74
1,top,2,6,-2,0.30934,110
1,top,2,6,-1,0.40472,164
1,top,2,6,0,0.50615,245
1,top,2,6,1,0.60718,164
1,top,2,6,2,0.70144,110
1,top,2,6,3,0.78381,74
1,top,2,6,4,0.85122,49
1,top,2,6,5,0.9029,33
1,top,2,6,6,0.94001,22
1,top,2,7,-6,0.05841,16
1,top,2,7,-5,0.09482,24
1,top,2,7,-4,0.14571,35
1,top,2,7,-3,0.21231,53
1,top,2,7,-2,0.29396,79
1,top,2,7,-1,0.38772,117
1,top,2,7,0,0.48855,175
1,top,2,7,1,0.59012,117
1,top,2,7,2,0.68596,79
1,top,2,7,3,0.77065,53
1,top,2,7,4,0.84075,35
1,top,2,7,5,0.8951,24
1,top,2,7,6,0.93457,16
1,bottom,0,0,-6,0.07788,373
1,bottom,0,0,-5,0.12393,557
1,bottom,0,0,-4,0.18629,831
1,bottom,0,0,-3,0.26509,1240
1,bottom,0,0,-2,0.35798,1849
1,bottom,0,0,-1,0.46018,2759
1,bottom,0,0,0,0.56509,4116
1,bottom,0,0,1,0.66559,2759
1,bottom,0,0,2,0.75542,1849
1,bottom,0,0,3,0.83034,1240
1,bottom,0,0,4,0.88865,831
1,bottom,0,0,5,0.931,557
1,bottom,0,0,6,0.9597,373
1,bottom,0,1,-6,0.09347,205
1,bottom,0,1,-5,0.14553,306
1,bottom,0,1,-4,0.21421,457
1,bottom,0,1,-3,0.29875,682
1,bottom,0,1,-2,0.39585,1017
1,bottom,0,1,-1,0.49991,1517
1,bottom,0,1,0,0.60397,2264
1,bottom,0,1,1,0.70108,1517
1,bottom,0,1,2,0.78564,1017
1,bottom,0,1,3,0.85435,682
1,bottom,0,1,4,0.90644,457
1,bottom,0,1,5,0.94329,306
1,bottom,0,1,6,0.96762,205
1,bottom,0,2,-6,0.10454,112
1,bottom,0,2,-5,0.16055,167
1,bottom,0,2,-4,0.23322,249
1,bottom,0,2,-3,0.32118,372
1,bottom,0,2,-2,0.42054,555
1,bottom,0,2,-1,0.52526,828
1,bottom,0,2,0,0.62825,1235
1,bottom,0,2,1,0.72277,828
1,bottom,0,2,2,0.80372,555
1,bottom,0,2,3,0.8684,372
1,bottom,0,2,4,0.91663,249
1,bottom,0,2,5,0.95018,167
1,bottom,0,2,6,0.97197,112
1,bottom,0,3,-6,0.12157,67
1,bottom,0,3,-5,0.1832,100
1,bottom,0,3,-4,0.2613,150
1,bottom,0,3,-3,0.35366,223
1,bottom,0,3,-2,0.45558,333
1,bottom,0,3,-1,0.56052,497
1,bottom,0,3,0,0.66135,741
1,bottom,0,3,1,0.75176,497
1,bottom,0,3,2,0.82739,333
1,bottom,0,3,3,0.88643,223
1,bottom,0,3,4,0.92944,150
1,bottom,0,3,5,0.95868,100
1,bottom,0,3,6,0.97722,67
1,bottom,0,4,-6,0.117,37
1,bottom,0,4,-5,0.17717,56
1,bottom,0,4,-4,0.25389,83
1,bottom,0,4,-3,0.34516,124
1,bottom,0,4,-2,0.44649,185
1,bottom,0,4,-1,0.55145,276
1,bottom,0,4,0,0.65291,412
1,bottom,0,4,1,0.74443,276
1,bottom,0,4,2,0.82146,185
1,bottom,0,4,3,0.88196,124
1,bottom,0,4,4,0.92629,83
1,bottom,0,4,5,0.95661,56
1,bottom,0,4,6,0.97595,37
1,bottom,0,5,-6,0.14106,37
1,bottom,0,5,-5,0.20849,56
1,bottom,0,5,-4,0.29192,83
1,bottom,0,5,-3,0.38824,124
1,bottom,0,5,-2,0.49201,185
1,bottom,0,5,-1,0.59633,276
1,bottom,0,5,0,0.69417,412
1,bottom,0,5,1,0.77982,276
1,bottom,0,5,2,0.84977,185
1,bottom,0,5,3,0.90309,124
1,bottom,0,5,4,0.941,83
1,bottom,0,5,5,0.96616,56
1,bottom,0,5,6,0.98174,37
1,bottom,0,6,-6,0.15196,26
1,bottom,0,6,-5,0.22238,39
1,bottom,0,6,-4,0.30844,58
1,bottom,0,6,-3,0.40656,87
1,bottom,0,6,-2,0.51096,129
1,bottom,0,6,-1,0.61461,193
1,bottom,0,6,0,0.71063,288
1,bottom,0,6,1,0.79363,193
1,bottom,0,6,2,0.86059,129
1,bottom,0,6,3,0.91099,87
1,bottom,0,6,4,0.94638,58
1,bottom,0,6,5,0.96958,39
1,bottom,0,6,6,0.98376,26
1,bottom,0,7,-6,0.17322,19
1,bottom,0,7,-5,0.24901,28
1,bottom,0,7,-4,0.33954,42
1,bottom,0,7,-3,0.44044,62
1,bottom,0,7,-2,0.54539,92
1,bottom,0,7,-1,0.64725,138
1,bottom,0,7,0,0.73949,206
1,bottom,0,7,1,0.81744,138
1,bottom,0,7,2,0.8789,92
1,bottom,0,7,3,0.92413,62
1,bottom,0,7,4,0.95518,42
1,bottom,0,7,5,0.97507,28
1,bottom,0,7,6,0.98696,19
1,bottom,1,0,-6,0.06952,336
1,bottom,1,0,-5,0.11209,501
1,bottom,1,0,-4,0.17066,748
1,bottom,1,0,-3,0.24584,1116
1,bottom,1,0,-2,0.33587,1664
1,bottom,1,0,-1,0.43649,2483
1,bottom,1,0,0,0.54141,3704
1,bottom,1,0,1,0.64351,2483
1,bottom,1,0,2,0.73622,1664
1,bottom,1,0,3,0.81477,1116
1,bottom,1,0,4,0.87687,748
1,bottom,1,0,5,0.92269,501
1,bottom,1,0,6,0.95422,336
1,bottom,1,1,-6,0.07896,185
1,bottom,1,1,-5,0.12545,276
1,bottom,1,1,-4,0.18828,411
1,bottom,1,1,-3,0.26751,614
1,bottom,1,1,-2,0.36075,915
1,bottom,1,1,-1,0.46312,1366
1,bottom,1,1,0,0.568,2037
1,bottom,1,1,1,0.66827,1366
1,bottom,1,1,2,0.75773,915
1,bottom,1,1,3,0.8322,614
1,bottom,1,1,4,0.89005,411
1,bottom,1,1,5,0.93198,276
1,bottom,1,1,6,0.96033,185
1,bottom,1,2,-6,0.08516,101
1,bottom,1,2,-5,0.13409,150
1,bottom,1,2,-4,0.19952,224
1,bottom,1,2,-3,0.28114,335
1,bottom,1,2,-2,0.37617,499
1,bottom,1,2,-1,0.47939,745
1,bottom,1,2,0,0.58402,1111
1,bottom,1,2,1,0.68298,745
1,bottom,1,2,2,0.77033,499
1,bottom,1,2,3,0.84226,335
1,bottom,1,2,4,0.89754,224
1,bottom,1,2,5,0.93719,150
1,bottom,1,2,6,0.96371,101
1,bottom,1,3,-6,0.09457,60
1,bottom,1,3,-5,0.14704,90
1,bottom,1,3,-4,0.21614,135
1,bottom,1,3,-3,0.30105,201
1,bottom,1,3,-2,0.39839,300
1,bottom,1,3,-1,0.50254,447
1,bottom,1,3,0,0.60651,667
1,bottom,1,3,1,0.70337,447
1,bottom,1,3,2,0.78756,300
1,bottom,1,3,3,0.85585,201
1,bottom,1,3,4,0.90754,135
1,bottom,1,3,5,0.94404,90
1,bottom,1,3,6,0.9681,60
1,bottom,1,4,-6,0.09754,34
1,bottom,1,4,-5,0.15109,50
1,bottom,1,4,-4,0.22128,75
1,bottom,1,4,-3,0.30714,112
1,bottom,1,4,-2,0.40513,166
1,bottom,1,4,-1,0.50949,248
1,bottom,1,4,0,0.61319,370
1,bottom,1,4,1,0.70936,248
1,bottom,1,4,2,0.79258,166
1,bottom,1,4,3,0.85977,112
1,bottom,1,4,4,0.91039,75
1,bottom,1,4,5,0.94598,50
1,bottom,1,4,6,0.96932,34
1,bottom,1,5,-6,0.10598,34
1,bottom,1,5,-5,0.16249,50
1,bottom,1,5,-4,0.23565,75
1,bottom,1,5,-3,0.32402,112
1,bottom,1,5,-2,0.42364,166
1,bottom,1,5,-1,0.52841,248
1,bottom,1,5,0,0.63124,370
1,bottom,1,5,1,0.72542,248
1,bottom,1,5,2,0.8059,166
1,bottom,1,5,3,0.87008,112
1,bottom,1,5,4,0.91783,75
1,bottom,1,5,5,0.95099,50
1,bottom,1,5,6,0.97247,34
1,bottom,1,6,-6,0.11835,24
1,bottom,1,6,-5,0.17896,35
1,bottom,1,6,-4,0.25609,52
1,bottom,1,6,-3,0.34769,78
1,bottom,1,6,-2,0.4492,117
1,bottom,1,6,-1,0.55416,174
1,bottom,1,6,0,0.65544,259
1,bottom,1,6,1,0.74663,174
1,bottom,1,6,2,0.82325,117
1,bottom,1,6,3,0.88331,78
1,bottom,1,6,4,0.92724,52
1,bottom,1,6,5,0.95724,35
1,bottom,1,6,6,0.97634,24
1,bottom,1,7,-6,0.1272,17
1,bottom,1,7,-5,0.19057,25
1,bottom,1,7,-4,0.2703,37
1,bottom,1,7,-3,0.36391,56
1,bottom,1,7,-2,0.46647,83
1,bottom,1,7,-1,0.57132,124
1,bottom,1,7,0,0.67133,185
1,bottom,1,7,1,0.76036,124
1,bottom,1,7,2,0.83431,83
1,bottom,1,7,3,0.89163,56
1,bottom,1,7,4,0.93308,37
1,bottom,1,7,5,0.96105,25
1,bottom,1,7,6,0.97867,17
1,bottom,2,0,-6,0.06418,317
1,bottom,2,0,-5,0.10444,473
1,bottom,2,0,-4,0.16042,706
1,bottom,2,0,-3,0.23306,1054
1,bottom,2,0,-2,0.32099,1572
1,bottom,2,0,-1,0.42033,2345
1,bottom,2,0,0,0.52505,3499
1,bottom,2,0,1,0.62805,2345
1,bottom,2,0,2,0.7226,1572
1,bottom,2,0,3,0.80357,1054
1,bottom,2,0,4,0.86829,706
1,bottom,2,0,5,0.91655,473
1,bottom,2,0,6,0.95013,317
1,bottom,2,1,-6,0.06847,175
1,bottom,2,1,-5,0.11059,260
1,bottom,2,1,-4,0.16866,388
1,bottom,2,1,-3,0.24335,580
1,bottom,2,1,-2,0.33299,865
1,bottom,2,1,-1,0.43337,1290
1,bottom,2,1,0,0.53827,1924
1,bottom,2,1,1,0.64056,1290
1,bottom,2,1,2,0.73363,865
1,bottom,2,1,3,0.81265,580
1,bottom,2,1,4,0.87525,388
1,bottom,2,1,5,0.92153,260
1,bottom,2,1,6,0.95346,175
1,bottom,2,2,-6,0.07184,95
1,bottom,2,2,-5,0.1154,142
1,bottom,2,2,-4,0.17505,212
1,bottom,2,2,-3,0.25127,316
1,bottom,2,2,-2,0.34215,472
1,bottom,2,2,-1,0.44325,704
1,bottom,2,2,0,0.54821,1050
1,bottom,2,2,1,0.64989,704
1,bottom,2,2,2,0.7418,472
1,bottom,2,2,3,0.81932,316
1,bottom,2,2,4,0.88033,212
1,bottom,2,2,5,0.92514,142
1,bottom,2,2,6,0.95585,95
1,bottom,2,3,-6,0.0759,57
1,bottom,2,3,-5,0.12115,85
1,bottom,2,3,-4,0.18264,127
1,bottom,2,3,-3,0.26061,190
1,bottom,2,3,-2,0.35287,283
1,bottom,2,3,-1,0.45474,422
1,bottom,2,3,0,0.55969,630
1,bottom,2,3,1,0.66058,422
1,bottom,2,3,2,0.75109,283
1,bottom,2,3,3,0.82685,190
1,bottom,2,3,4,0.88603,127
1,bottom,2,3,5,0.92916,85
1,bottom,2,3,6,0.95849,57
1,bottom,2,4,-6,0.07308,32
1,bottom,2,4,-5,0.11715,47
1,bottom,2,4,-4,0.17737,71
1,bottom,2,4,-3,0.25414,105
1,bottom,2,4,-2,0.34545,157
1,bottom,2,4,-1,0.4468,235
1,bottom,2,4,0,0.55176,350
1,bottom,2,4,1,0.65321,235
1,bottom,2,4,2,0.74469,157
1,bottom,2,4,3,0.82167,105
1,bottom,2,4,4,0.88211,71
1,bottom,2,4,5,0.9264,47
1,bottom,2,4,6,0.95668,32
1,bottom,2,5,-6,0.07776,32
1,bottom,2,5,-5,0.12377,47
1,bottom,2,5,-4,0.18608,71
1,bottom,2,5,-3,0.26483,105
1,bottom,2,5,-2,0.35769,157
1,bottom,2,5,-1,0.45987,235
1,bottom,2,5,0,0.56478,350
1,bottom,2,5,1,0.6653,235
1,bottom,2,5,2,0.75517,157
1,bottom,2,5,3,0.83014,105
1,bottom,2,5,4,0.8885,71
1,bottom,2,5,5,0.93089,47
1,bottom,2,5,6,0.95963,32
1,bottom,2,6,-6,0.08176,22
1,bottom,2,6,-5,0.12936,33
1,bottom,2,6,-4,0.19338,49
1,bottom,2,6,-3,0.27371,74
1,bottom,2,6,-2,0.36778,110
1,bottom,2,6,-1,0.47056,164
1,bottom,2,6,0,0.57535,245
1,bottom,2,6,1,0.67505,164
1,bottom,2,6,2,0.76355,110
1,bottom,2,6,3,0.83686,74
1,bottom,2,6,4,0.89353,49
1,bottom,2,6,5,0.9344,33
1,bottom,2,6,6,0.96191,22
1,bottom,2,7,-6,0.08884,16
1,bottom,2,7,-5,0.13918,24
1,bottom,2,7,-4,0.20607,35
1,bottom,2,7,-3,0.28903,53
1,bottom,2,7,-2,0.38501,79
1,bottom,2,7,-1,0.48864,117
1,bottom,2,7,0,0.59305,175
1,bottom,2,7,1,0.69121,117
1,bottom,2,7,2,0.77731,79
1,bottom,2,7,3,0.84779,53
1,bottom,2,7,4,0.90163,35
1,bottom,2,7,5,0.94,24
1,bottom,2,7,6,0.96552,16
2,top,0,0,-6,0.05593,366
2,top,0,0,-5,0.09375,546
2,top,0,0,-4,0.14776,814
2,top,0,0,-3,0.2194,1214
2,top,0,0,-2,0.30771,1812
2,top,0,0,-1,0.40885,2703
2,top,0,0,0,0.51649,4032
2,top,0,0,1,0.62293,2703
2,top,0,0,2,0.72073,1812
2,top,0,0,3,0.80424,1214
2,top,0,0,4,0.87049,814
2,top,0,0,5,0.91933,546
2,top,0,0,6,0.95278,366
2,top,0,1,-6,0.04525,201
2,top,0,1,-5,0.07769,300
2,top,0,1,-4,0.1253,448
2,top,0,1,-3,0.19024,668
2,top,0,1,-2,0.27255,996
2,top,0,1,-1,0.36947,1487
2,top,0,1,0,0.47551,2218
2,top,0,1,1,0.58333,1487
2,top,0,1,2,0.68519,996
2,top,0,1,3,0.77461,668
2,top,0,1,4,0.84754,448
2,top,0,1,5,0.90282,300
2,top,0,1,6,0.94175,201
2,top,0,2,-6,0.03935,110
2,top,0,2,-5,0.0686,164
2,top,0,2,-4,0.1123,244
2,top,0,2,-3,0.17296,364
2,top,0,2,-2,0.25122,544
2,top,0,2,-1,0.34503,811
2,top,0,2,0,0.4495,1210
2,top,0,2,1,0.55761,811
2,top,0,2,2,0.66157,544
2,top,0,2,3,0.75446,364
2,top,0,2,4,0.83158,244
2,top,0,2,5,0.89108,164
2,top,0,2,6,0.93373,110
2,top,0,3,-6,0.03216,66
2,top,0,3,-5,0.05729,98
2,top,0,3,-4,0.09577,147
2,top,0,3,-3,0.15053,219
2,top,0,3,-2,0.22295,326
2,top,0,3,-1,0.31193,486
2,top,0,3,0,0.4135,726
2,top,0,3,1,0.52125,486
2,top,0,3,2,0.62746,326
2,top,0,3,3,0.72474,219
2,top,0,3,4,0.80753,147
2,top,0,3,5,0.873,98
2,top,0,3,6,0.9211,66
2,top,0,4,-6,0.03391,37
2,top,0,4,-5,0.06006,55
2,top,0,4,-4,0.09985,81
2,top,0,4,-3,0.15613,121
2,top,0,4,-2,0.23007,181
2,top,0,4,-1,0.32034,270
2,top,0,4,0,0.42274,403
2,top,0,4,1,0.53067,270
2,top,0,4,2,0.63638,181
2,top,0,4,3,0.73258,121
2,top,0,4,4,0.81393,81
2,top,0,4,5,0.87785,55
2,top,0,4,6,0.92453,37
2,top,0,5,-6,0.02593,37
2,top,0,5,-5,0.04723,55
2,top,0,5,-4,0.0807,81
2,top,0,5,-3,0.12956,121
2,top,0,5,-2,0.19583,181
2,top,0,5,-1,0.27936,270
2,top,0,5,0,0.37719,403
2,top,0,5,1,0.48364,270
2,top,0,5,2,0.59127,181
2,top,0,5,3,0.6924,121
2,top,0,5,4,0.78068,81
2,top,0,5,5,0.8523,55
2,top,0,5,6,0.90628,37
2,top,0,6,-6,0.02312,26
2,top,0,6,-5,0.0426,38
2,top,0,6,-4,0.07362,57
2,top,0,6,-3,0.11951,85
2,top,0,6,-2,0.18259,127
2,top,0,6,-1,0.26315,189
2,top,0,6,0,0.35875,282
2,top,0,6,1,0.46416,189
2,top,0,6,2,0.57216,127
2,top,0,6,3,0.67499,85
2,top,0,6,4,0.76595,57
2,top,0,6,5,0.84072,38
2,top,0,6,6,0.89783,26
2,top,0,7,-6,0.01865,18
2,top,0,7,-5,0.03511,27
2,top,0,7,-4,0.06196,41
2,top,0,7,-3,0.10265,61
2,top,0,7,-2,0.15994,91
2,top,0,7,-1,0.23489,135
2,top,0,7,0,0.326,202
2,top,0,7,1,0.42892,135
2,top,0,7,2,0.53694,91
2,top,0,7,3,0.64228,61
2,top,0,7,4,0.73774,41
2,top,0,7,5,0.81812,27
2,top,0,7,6,0.88102,18
2,top,1,0,-6,0.06323,329
2,top,1,0,-5,0.10451,491
2,top,1,0,-4,0.16246,733
2,top,1,0,-3,0.23807,1093
2,top,1,0,-2,0.32973,1631
2,top,1,0,-1,0.43298,2432
2,top,1,0,0,0.54104,3629
2,top,1,0,1,0.64613,2432
2,top,1,0,2,0.7411,1631
2,top,1,0,3,0.82084,1093
2,top,1,0,4,0.88306,733
2,top,1,0,5,0.92817,491
2,top,1,0,6,0.95856,329
2,top,1,1,-6,0.05507,181
2,top,1,1,-5,0.09248,270
2,top,1,1,-4,0.14601,403
2,top,1,1,-3,0.21715,601
2,top,1,1,-2,0.30503,897
2,top,1,1,-1,0.40589,1338
2,top,1,1,0,0.51345,1996
2,top,1,1,1,0.62003,1338
2,top,1,1,2,0.71817,897
2,top,1,1,3,0.80213,601
2,top,1,1,4,0.86888,403
2,top,1,1,5,0.91818,270
2,top,1,1,6,0.95203,181
2,top,1,2,-6,0.05053,99
2,top,1,2,-5,0.08569,147
2,top,1,2,-4,0.13657,220
2,top,1,2,-3,0.20498,328
